编号,短信内容（法语）,"标签(1=垃圾,0=正常)",类别,备注
FR0035,Votre prochaine vidéo incroyable xxx PICSFREE1 sera envoyée à vous en profiter! Si une vidéo n'est pas suffisante pour 2 jours de texte en arrière le mot clé PICSFREE1 pour obtenir la prochaine vidéo.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0036,"Je ne pense pas que je puisse partir pour un trek aussi long avec la famille en ville, désolé",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0037,"Client d'UpgrdCentre Orange, vous pouvez maintenant demander votre mise à jour gratuite CAMERA PHONE pour votre fidélité. Appelez maintenant au 0207 153 9153. L'offre se termine le 26 juillet.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0038,Vous avez une importante annonce de service à la clientèle de PREMIER.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0039,Avez-vous eu votre mobile 11 mois ou plus? U R a droit à mettre à jour les derniers mobiles couleur avec caméra gratuitement! Appelez The Mobile Update Co GRATUIT au 08002986030,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0040,"Dis-moi ce qui arrive, ne te comporte pas comme ça.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0041,"Quelqu'un U know a demandé à notre service de rencontres 2 vous contacter! Cant devinez qui? APPELER 09058095107 MAINTENANT tout sera révélé. POBox 7, S3XY 150p",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0042,URGENT! Nous essayons de vous contacter. Dernier tirage du week-end montre que vous avez gagné un prix de £900 GARANTIE. Appelez 09061701851. Code de réclamation K61. Valable 12heures seulement,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0043,U sont abonnés au meilleur service de contenu mobile au Royaume-Uni pour £3 par 10 jours jusqu'à ce que vous envoyez STOP à 82324.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0044,Bonjour beautiful! Vous trouvez ce travail? Ne pas être paresseux? Travailler pour récupérer ce filet pour maman? Où est mon petit jouet maintenant? Je lui manque?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0045,"Double minutes et txts 4 6mois Bluetooth gratuit sur Orange. Disponible sur les téléphones Sony, Nokia Motorola. Appelez MobileUpd8 sur 08000839402 ou call2optout/N9DX",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0046,Appelez de 08702490080 - dit u 2 appelez 09066358152 pour réclamer £5000 prix. U ont 2 entrer tous les détails mobiles et personnels ur @ les invites. Attention!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0047,74355 XMAS iscoming & ur récompensé soit £500 chèque-cadeau CD & entrée gratuite 2 r £100 tirage hebdomadaire txt MUSIC à 87066 TnC,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0048,Conférence de presse da:),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0049,Ok... réponse typique d'Ur...,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0050,Rappel: Vous n'avez pas téléchargé le contenu que vous avez déjà payé. Goto http://doit. mymoby. tv/ pour collecter votre contenu.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0051,"Je me suis sentie chier ce matin, mais je crois que je suis en pleine gueule de bois!",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0052,Je connais quelques personnes que je peux baiser et baiser avec le oui,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0053,"Bienvenue à Select, un service O2 avec des avantages supplémentaires. Vous pouvez maintenant appeler nos conseillers spécialement formés GRATUITEMENT depuis votre mobile en composant 402.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0054,Je dois récupérer la voiture à 6 lei.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0055,Cette rémunération est de &lt;DECIMAL&gt; lakhs:),0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0056,Ringtone Club: Gr8 nouveaux polys directs à votre mobile chaque semaine!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0057,"Oui, c'est au paragon... je n'ai pas encore décidé si 2 coupures...",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0058,Voulez-vous un nouveau téléphone vidéo? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 par semaine Free delTOmorrow appelez 08002888812 ou répondez MAINTENANT,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0059,"J'ai raté votre appel parce que j'ai crié à la racaille, Mlle U. J'ai hâte que vous rentriez.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0060,"Pour votre chance de gagner 250 £ d'argent par wk TXT: ACTION à 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0061,"Haha génial, omw à l'époque",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0062,"Ooh, 4got, je vais commencer à danser dans le ventre à Moseley Weds 6.30 si tu veux 2 me rejoindre, ils ont un café aussi.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0063,J'ai fini mon déjeuner puis j'ai décroché lor. Ard 3 smth lor. U fini le déjeuner ur déjà?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0064,FreeMsg: Fancy a flirt? Répondre DATE now & rejoignez le service de rencontres mobiles à croissance la plus rapide au Royaume-Uni. Msgs rcvd just 25p to optout txt stop to 83021. Répondre DATE now!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0065,"Sppok up ur mob avec une collection d'Halloween de nokia logo&pic message plus un ton d'eerie GRATUIT, txt CARD SPOOK à 8007",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0066,RT-KIng Pro Video Club>> Besoin d'aide? info@ringtoneking.co.uk ou composez le 08701237397 Vous devez être 16+ crédits Club échangeables à www.ringtoneking.co.uk! Profitez!,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0067,"Pouvez-vous s'il vous plaît demander à macho quelle est sa fourchette de prix, veut-il quelque chose de nouveau ou utilisé plus il ne s'entrefued dans la baie noire bold &lt;#&gt; ou tout bb",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0068,Vous êtes un gagnant U ont été spécialement sélectionnés 2 recevoir £1000 ou un 4* vacances (vols inc) parler à un opérateur en direct 2 réclamation 0871277810910p/min (18+),1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0069,"Alors, vous avez des épaules de samus pour l'instant.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0070,Tonalités gratuites J'espère que vous avez apprécié votre nouveau contenu. text stop to 61610 to unsubscribe. help:08712400602450p Offert par tones2you.co.uk,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0071,"Eh bien, je voulais dire plutôt que ma nuit d'ébriété d'avant",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0072,Bien joué ENGLAND! Obtenez la sonnerie poly officielle ou drapeau de couleur sur yer mobile! texte TONE ou FLAG à 84199 MAINTENANT! Optez pour Txt ENG STOP. Box39822 W111WX £1.50,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0073,"Salut, les filles de SEXYCHAT vous attendent pour leur envoyer un texto. Text maintenant pour une bonne conversation de nuit. envoyer STOP pour arrêter ce service",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0074,SMS AUCTION - Un nouveau Nokia 7250 est en hausse 4 vente aux enchères aujourd'hui! La vente aux enchères est GRATUITE 2 rejoindre et prendre part! Txt NOKIA à 86021 maintenant! HG/Suite342/2Lands Row/W1J6HL,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0075,Mais les pls ne jouent pas dans la vie des autres.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0076,Ça ressemble à quelque chose que quelqu'un me tester me dirait,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0077,Un petit problème de prestige maintenant.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0078,"Pour moi, il n'y a pas de permission vendredi.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0079,Voulez-vous 750 à tout moment any network mins 150 text et un nouveau téléphone VIDEO pour seulement cinq livres par semaine appeler 08002888812 ou répondre à la livraison demain,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0080,"Vous êtes garanti le dernier Nokia Phone, un lecteur MP3 iPod 40 Go ou un prix £500! Txt mot: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0081,Nous avons essayé de vous appeler re votre réponse à nos sms pour une vidéo mobile 750 minutes ILLIMITED TEXTE caméscope gratuit Répondre ou appeler maintenant 08000930705 Del Thurs,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0082,Félicitations ur récompensé 500 de bons CD ou 125 cadeaux garantis & Entrée gratuite 2 100 wkly tirage txt MUSIC à 87066,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0083,< Forwarded from 448712404000>Veuillez appeler immédiatement 08712404000 car il y a un message urgent qui vous attend.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0084,Client T-Mobile vous pouvez maintenant réclamer votre mise à jour gratuite de CAMERA PHONE et une carte SIM pay & go pour votre fidélité. Appelez au 0845 021 3680.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0085,Vous êtes un gagnant que vous avez été spécialement sélectionné pour recevoir £1000 cash ou un prix £2000. Parlez à un opérateur en direct pour réclamer l'appel 087147123779am-19pm. Coût 10p,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0086,"Ne vous inquiétez pas, 1 jour très grand lagu ji vl come..jusqu'à ce que la fête de batchlor:-)",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0087,Tu te souviens de moi?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0088,Comment va-t-on?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0089,"C'est intéressant? sextextuk.com txt XXUK SUZY à 69876. Txts coûte 1,50 par msg. TnCs sur le site. X",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0090,Combien de r ü sont prêts à payer?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0091,"Wat me fait tomber, mais en fait, je suis très encline à tomber 2 fois. Heureusement que mon père est à la maison, je lui demande de venir me chercher.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0092,Urgent! S'il vous plaît appelez 09061743811 à partir de la ligne fixe. Votre ABTA gratuit 4* Tenerife Holiday ou £ 5000 espèces attendent la collection SAE T&Cs Box 326 CW25WX 150ppm,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0093,"URGENT! Votre mobile No 077xxx WON un £2,000 Bonus Caller Prize le 02/06/03! C'est la 2ème tentative pour vous joindre! Appelez 0906636206 au plus vite! BOX97N7QP, 150ppm",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0094,Ou mieux encore pouvez-vous l'attraper et lui demander si elle peut vendre &lt;#&gt; pour moi.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0095,Maintenant seulement je suis arrivé à la maison... Je suis très fatigué maintenant.. Je vais venir tomorro,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0096,J'ai cherché les bons mots pour vous remercier pour ce respirateur. Je promets que je ne tiendrai pas votre aide pour acquise et réaliserai ma promesse. Vous avez été merveilleux et une bénédiction en tout temps.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0097,"But! Arsenal 4 (Henry, 7 vs Liverpool 2 Henry marque avec un simple tir de 6 mètres d'une passe de Bergkamp pour donner à Arsenal une marge de 2 buts après 78 minutes.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0098,Il met certainement les choses en perspective quand quelque chose comme ça arrive,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0099,La mère de notre Prashanthettan est décédée hier soir. Priez pour elle et sa famille.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0100,La ferme était ouverte?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0101,K. et d'autres spéciaux?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0102,Dunno parce que j'étais en retard quand j'arrive à l'intérieur... mais on a mangé des camédies lor... c'est les filles qui se moquent de moi lor...,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0103,"Oui, donne-moi quelques minutes pour retrouver mon portefeuille.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0104,Vous êtes invités à recevoir un prix de £350! Pls appelez le numéro de réclamation 09066364311 pour recueillir votre prix que vous êtes sélectionné pour recevoir en tant que client mobile de valeur.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0105,Félicitations U peut réclamer 2 VIP ligne A Billets 2 C Blu en concert en novembre ou Blu cadeau garanti Appelez 09061104276 pour réclamer TS&Cs www.smsco.net coût £3.75max,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0106,2p par min pour appeler l'Allemagne 08448350055 de votre ligne BT. Juste 2p par min. Vérifiez PlanetTalkInstant.com pour info & T's & C's.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0107,K.k:)Quand partez-vous?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0108,"Si vous ne le faites pas, votre prix ira à un autre client. T&C à www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Veuillez rappeler si occupé",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0109,Message Informations importantes pour l'utilisateur O2. Aujourd'hui est votre jour de chance! 2 découvrez pourquoi vous connecter à http://www.urawinner.com il ya une surprise fantastique vous attend,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0110,"HOT LIVE FANTASIES appelez maintenant 08707509020 Juste 20p par min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0111,N'oubliez pas que vous pouvez placer autant de Demandes GRATUITES avec 1stchoice.co.uk que vous le souhaitez. Pour plus d'informations appelez le 08707808226.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0112,R ü comin retour pour le dîner?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0113,Quand allez-vous acheter un bb cos que j'ai à vendre et comment va-t-il?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0114,APPELEZ 09090900040 & ÉCRIVEZ-VOUS À L'EXTREME DIRTY LIVE CHAT ALLER DANS L'OFFICE À L'OCTROI TOTAL DE LA VIE PRIVÉE Personne ne connaît votre [sic] ÉCRIVEZ 60P MIN 24/7MP 0870753331018+,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0115,Vous êtes prêts pour un grand jour demain?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0116,"ER, ENJOYIN INDIENS AU MO..YEP. SALL GOOD HehE ;> Comment se passe-t-il u shexy? Pete Xx",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0117,J'espère que tu te sentiras mieux bientôt.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0118,U ont un admirateur secret. REVEAL qui pense U R Si spécial. Appelez 09065174042. Pour refuser Répondre REVEAL STOP. 1.50 par msg recd. Cust care 07821230901,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0119,Ce msg est pour votre commande de contenu mobile Il a été ressenti comme tentative précédente échouée en raison d'une erreur réseau Demandes à clientsqueries@netvision.uk.com,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0120,"FreeMsg Hey il ya ma chérie il a été 3 semaines maintenant et aucun mot de retour! J'aimerais que vous vous amusez encore pour elle? Tb ok! XxX std chgs à envoyer, £1,50 à rcv",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0121,Je rentre chez moi dans 5 min.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0122,Va la chercher et va la chercher pendant qu'elle traverse la rue.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0123,Tu veux aller à Walmart bientôt?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0124,"Last Chance! Réclamez une valeur de £150 de bons de réduction aujourd'hui! Texte SHOP à 85023 maintenant! SavaMob, offre mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0125,URGENT! Nous essayons de contacter U. Todays draw montre que vous avez gagné un prix de £800 GUARANTIEED. Appelez 09050003091 de la ligne terrestre. Réclamation C52. Valable 12hrs seulement,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0126,"Je veux une bite! Mon mari est loin, j'ai besoin d'un vrai homme 2 me satisfaire. Txt WIFE à 89938 pour aucune action de cordes. (Txt STOP 2 fin, txt rec £1.50ea. OTBox 731 LA1 7WS. )",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0127,"Comme &lt;#&gt;, même question",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0128,Est-ce qu'il n'y a pas de &lt;#&gt;?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0129,Vous êtes un gagnant que vous avez été spécialement sélectionné pour recevoir £1000 cash ou un prix £2000. Parlez à un opérateur en direct pour réclamer l'appel 087123002209am-19pm. Coût 10p,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0130,Lieu client je vous appellerai,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0131,Je suppose que le post est arrivé alors! Vous devez avoir 1000s de textes maintenant! Bonne lecture. Mon celui de wiv hello caroline à la fin est mon préféré.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0132,URGENT! Nous essayons de contacter U. Todays draw montre que vous avez gagné un prix de £2000 GARANTIEED. Appelez 09066358361 de la ligne terrestre.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0133,Summers enfin ici! Fantastique un chat ou flirt avec des singles sexy dans la région de l'an? Pour obtenir MATCHED juste répondez SUMMER maintenant. Gratuit 2 Rejoignez. OptOut txt STOP Help08714742804,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0134,UR GOING 2 BAHAMAS! Appelez FREEEFONE 08081560665 et parlez à un opérateur en direct pour réclamer soit les Bahamas croisières de £2000 CASH 18+seulement. Pour refuser txt X à 07786200117,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0135,"Rentre à la maison, je ne veux pas que tu sois malheureux.",0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0136,Vous avez vu ce que j'ai posté sur votre Facebook?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0137,"U can WIN £100 of Music Gift Bonkers chaque semaine à partir de MAINTENANT Txt le mot DRAW à 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessAbonnement",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0138,Ce message est gratuit. Bienvenue dans le nouveau et amélioré Sex & Dogging club! Pour se désabonner de ce service répondez STOP. msgs@150p 18 seulement,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0139,Quelle est la signification?,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0140,Devinez qui suis-je?C'est la première fois que j'ai créé une page web WWW.ASJESUS.COM a lu tout ce que j'ai écrit. J'attends vos avis. Je veux être votre ami 1/1,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0141,Un prix de 400 £ XMAS vous attend! Notre ordinateur vous a choisi au hasard parmi nos fidèles clients mobiles pour recevoir une récompense de 400 £. Il suffit d'appeler 09066380611,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0142,Vous avez 1 nouveau message vocal. S'il vous plaît appelez 08719181503,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0143,Bonjour son en durban êtes-vous toujours sur ce numéro,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0144,"Félicitations! 1 an de laissez-passer spécial cinéma pour 2 est à vous. appelez le 09061209465 maintenant! C Suprman V, Matrix3, StarWars3, etc tous les 4 GRATUIT! bx420-ip4-5we. 150pm. Ne manquez pas!",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0145,Vous voulez de vrais emplacements de dogging envoyés directement à ur mobile? Rejoignez le plus grand réseau de dogging du Royaume-Uni. Txt PARK à 69696 maintenant! Nyt. ec2a. 3lp £1.50/msg,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0146,"U ont été surenchérir par simonwatson5120 sur le DVD de Shinco Plyr. 2 offre à nouveau, visiter sms. ac/smsrewards 2 avis d'appel d'offres final, répondre END OUT",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0147,Natalie (20/F) vous invite à être son amie. Réponse OUI-165 ou NO-165 Voir elle: www.SMS.ac/u/natalie2k9 STOP? Envoyer STOP FRND au 62468,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0148,Envoyer un logo 2 ur amant - 2 noms rejoints par un cœur. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 à 87077 Yahoo! POBox36504W45WQ TxtNO 4 pas d'annonces 150p.,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0149,Il faut le convaincre qu'il n'est pas possible qu'il fasse mal à son sentiment qu'il est le principal.,0,normal,SpamShield 真实数据（CC-BY-4.0）
FR0150,URGENT! Nous essayons de contacter U Todays tirage montre que vous avez gagné un £800 prix GARANTIED. Appelez 09050000460 de ligne terrestre. Réclamation J89. po box245c2150pm,1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0151,"Cher titulaire du bon, Pour réclamer cette offre de semaines, veuillez consulter le site Web de votre PC à l'adresse suivante : http://www.e-tlp.co.uk/expressoffer Ts&Cs. Pour arrêter les textes, cliquez sur STOP à 80062.",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0152,"NOKIA GRATUIT ou Motorola avec jusqu'à 12mths 1/2prix lineral, 500 minutes x-net GRATUIT&100txt/mth B'tooth GRATUIT*. Appelez Mobileupd8 au 08001950382 ou appelez 2optout/D3WV",1,spam,SpamShield 真实数据（CC-BY-4.0）
FR0153,"Désolé d'avoir raté votre appel, parlons-en quand vous aurez le temps. Je suis sur 07090201529",1,spam,SpamShield 真实数据（CC-BY-4.0）
