编号,原文（法语）,类型,伪装对象,诈骗手法,判定依据,是否钓鱼,来源,备注
示例13,"Objet : AVIS D'IMPÔT

Madame, Monsieur,
Nous, la Direction Générale des Finances, sous la demande de M. BRUNO ROUSSELET...
Vous avez effectivement commis une infraction ou évasion fiscale, conformément aux dispositions de l'article 1741 du Code Général des Impôts...
Le Service Fédéral des impôts prendra toute mesure nécessaire... vous risquez les 2 peines suivantes : 500 000 € d'amende et 5 ans d'emprisonnement.
Dès réception de cet avis d'impôt, vous avez un délai de 72 heures pour régler la somme de 4 819,00 €...
E-MAIL : p*bliques*finances***@gmail.com",邮件,法国公共财政总局 DGFiP,同款恐吓，限 72 小时转 4819 欧；联系邮箱是 gmail 私人邮箱,官方公文不可能用 gmail 私人邮箱；'Service Fédéral'不是法国机构叫法（法国是共和制）,是,escroquerie-accusation-fraude-fiscale,官方示例（已标注）
示例14,"INFO ANTAI: Vous avez une contravention à payer. Afin d'éviter toute pénalité veuillez la régler via:
https://d___r-amendes.fr",短信,国家违章处理中心 ANTAI,假称有罚单待缴，诱导点击仿冒网址,官方网址是 amendes.gouv.fr；短信网址为仿冒且字符脱敏,是,campagne-messages-frauduleux-contravention,官方示例（已标注）
示例15,"AMENDE GOUV : Nos agents ont trouvés une contravention rattachée à votre dossier.
Veuillez consulter les détails de la contravention via : amendes_.info",短信,ANTAI / 罚单服务,假称'发现你的违章'，诱导访问仿冒网站,官方域名是 gouv.fr 结尾；amendes_.info 是仿冒,是,campagne-messages-frauduleux-contravention,官方示例（已标注）
示例16,"Info ANTAI : Vous avez un retard de paiement de 35,00e, dossier référence 20023099.
Consulter mon dossier d'infraction via : https://dossier-  -gouv.info",短信,ANTAI / 罚单服务,假称罚款逾期 35 欧，诱导查看档案,域名 dossier-*-gouv.info 仿冒 gouv.fr；编号乱编,是,campagne-messages-frauduleux-contravention,官方示例（已标注）
示例17,"Nous avons trouvés une contravention rattachée à votre dossier
Arrêt imposé par un feu rouge non respecté par le conducteur du véhicule
Le montant de la contravention s'élève à 35€
Veillez noter que si vous ne payez pas une amende, les peines possibles peuvent encourir :
• Des pénalités supplémentaires...
• Une saisie sur salaire ou sur compte bancaire...
• Une peine d'emprisonnement de 5 ans maximum...
Payer mon amende
Cordialement, République française",短信,ANTAI / 交通罚单,完整版恐吓短信：红灯违章 35 欧+坐牢威胁，诱导点'付款',"真实罚单通过纸质/官方 app 通知；'Cordialement, République française'不合公文规范",是,campagne-messages-frauduleux-contravention,官方示例（已标注）
示例18,"De: ""Service Client""
Envoyé: mercredi 4 Août 2021 15:45
Objet: Confirmation de votre commande",邮件,电信运营商 SFR,假称订单确认，诱导查看/取消订单,发件人只写'Service Client'无真实域名；仿冒 SFR,是,escroquerie-fausse-commande,官方示例（已标注）
示例19,"BOULANGER : Vous avez été victime d'une surfacturation de 12,25€, merci de remplir le formulaire : boulanger.link/?d=718457",短信,电商 Boulanger,假称被多扣 12.25 欧，诱导填表,官方域名是 boulanger.com；boulanger.link 是仿冒,是,escroquerie-fausse-commande,官方示例（已标注）
示例20,"Objet: 你的 Darty 订单确认（伪造）
VOTRE COMMANDE DARTY.COM
N° de transaction : 2910203636
TV LED Philips The One 65PUS7354 - 889,00 €
Total de votre commande [TTC] : 994,99 €
Montant payé en ligne 990,00 €
Adresse de facturation: [victime]
Destinataire de la commande: S[]M - 257 RUE D[]E - 34080 MONTPELLIER
Vous pouvez annuler votre commande et vous faire rembourser en cliquant ici : Annuler ma commande",邮件,电商 Darty,伪造真实订单确认+受害者真实地址，诱导点'取消订单/退款'链接,订单是假的；'取消订单'链接导向钓鱼站；用真实信息泄露增强可信度,是,escroquerie-fausse-commande,官方示例（已标注）
示例21,"From: ChronoPost-International@mon-dossier-restriction.cc
Subject: Avis !

Bonjour,
A titre de rappel, Chronopost vous informe que votre envoi n°1550377 **0935K est toujours en attente d'instruction de votre part.
Veuillez confirmer le tarif des frais de livraison (2,99 EUR) et l'envoi de colis en cliquant sur lien suivant:
REPROGRAMMER VOTRE LIVRAISON",邮件,快递 Chronopost,假称包裹滞留需确认 2.99 欧运费，诱导点'重新安排配送'按钮,发件域名 mon-dossier-restriction.cc 是仿冒（官方 chronopost.fr）；真实快递不会邮件收运费,是,escroqueries-livraison-colis,官方示例（已标注）
示例22,"bonjour c'est le livreur votre colis ne rentrait pas dans la boîte aux lettres, veuillez choisir un autre créneau ou point relais sur https://mondialreplanif-colis.com/",短信,快递 Mondial Relay,假快递员称包裹塞不进信箱，诱导选时段/选站点（点仿冒网站）,官方域名 mondialrelay.fr；mondialreplanif-colis.com 是仿冒,是,escroqueries-livraison-colis,官方示例（已标注）
示例23,"Cher(e) [redacted], vous devez payer 1.95€ TVA pour votre colis, payer en ligne et eviter les frais de dedouanement(15€): http://m9d.us/9aqsx",短信,快递（通用）,假称包裹需补交 1.95 欧关税，诱导在线支付,真实快递不会用短链收税；m9d.us 是短链跳转到钓鱼站,是,escroqueries-livraison-colis,官方示例（已标注）
示例24,"Nous avons essayé de livrer votre colis LP995215701FR, mais il n'y a aucun affranchissement. Suivez les instructions ici: http://bit.do/fHXvw",短信,快递（通用）,假称包裹无邮资被退回，诱导点链接,真实快递不用 bit.do 短链；官方查询走官网/app,是,escroqueries-livraison-colis,官方示例（已标注）
示例25,bonjour maman/papa. Mon téléphone est cassé. C'est mon nouveau numéro de téléphone. +33XXXXXXXXX vous pouvez enregistrer ceci. envoie moi un message via whatsapp.,短信,冒充亲人（孩子）,假冒'孩子'称手机坏了换号，诱导加 WhatsApp 后骗钱,+33XXXXXXXXX 号码被官方脱敏；群发无称谓细节,是,escroquerie-enfant-probleme-telephone-coucou-papa-maman,官方示例（已标注）
示例26,"Coucou maman, c'est moi. J'ai eu un problème avec mon numéro de téléphone, c'est mon numéro temporaire. Envoie moi un message sur WhatsApp, sur ce numéro le plus rapidement possible ! Je ne pourrai plus te répondre ici comme je n'ai plus de crédit, je dois te parler de quelque chose...",短信,冒充亲人（孩子）,同款亲情诈骗：临时号码+无话费，诱导加 WhatsApp,骗术经典模板：制造'孩子急事'恐慌+要求脱离原渠道,是,escroquerie-enfant-probleme-telephone-coucou-papa-maman,官方示例（已标注）
示例27,"De : Papa c'est moi <info@xyeui.brevosend.com>
Objet : mon tel à pris l'eau

Bonjour Papa, Je te laisse mes nouvelles coordonnées car je n'ai plus accès à mon ancien téléphone. J'ai eu un petit souci avec celui-ci et les numéros enregistrés dessus n'ont pas pu être récupérés. Pour être sûr que j'ai bien ton contact, envoie-moi un SMS lorsque tu auras pris connaissance de ce message. 06 XX 39 XX 17",邮件,冒充亲人（孩子）,邮件版亲情诈骗：'手机进水换号'，诱导回复短信/加新号,发件域名 brevosend.com 是群发营销平台域名，非个人邮箱；号码脱敏,是,escroquerie-enfant-probleme-telephone-coucou-papa-maman,官方示例（已标注）
示例28,"De : c'est moi <marc3l@inspire.cool>
Objet : Mon tel est casser papa..

Bonjour Papa, J'ai un nouveau numéro pour que tu puisses me contacter par message. J'ai fait tomber mon téléphone dans l'eau et j'ai malheureusement perdu tous mes contacts. envoi moi un sms quand tu verra cet e-mail. Tu peux me joindre au : 06:XX:39:XX:17",邮件,冒充亲人（孩子）,邮件版亲情诈骗变体：落水丢通讯录，诱导回复,发件域名 inspire.cool 是可疑新顶级域；法语有拼写错误（casser/cassé）,是,escroquerie-enfant-probleme-telephone-coucou-papa-maman,官方示例（已标注）
示例29,"De: 947588321 De la part de sav.orange.fr - actu
Objet: Dernier jour ⚠️ Echangez vos points de fidélité avant l'échéance des gains le 15/10/2021

Chers clients, chères clientes,
En tant que client Orange vous êtes automatiquement enregistré dans le programme de fidélité. Nous vous informons que depuis votre souscription chez Orange le total de vos points cumulés s'élève à 61 135 expirant le 15/10/2021. Grâce à ces derniers, vous recevrez un mobile pour vous remercier de votre fidélité. L'expédition aura lieu après la confirmation de votre adresse ainsi que le paiement du service de livraison.",邮件,电信 Orange,假称忠诚积分即将到期可换手机，诱导确认地址并支付'配送费'（实际是骗取个人信息）,发件显示为 947588321 数字而非官方域名；'最后一天+积分+配送费'典型诱饵,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例30,"de: Sylviane <ferencziimre@t-online.hu>
objet: Informations

Bonjour Monsieur / Madame,
Nous vous contactons par cette présente lettre pour vous informer que vous venez de gagner la somme de 680.000€ (Six Cent Quatre Vingt Milles Euros) du tirage au sort organisé par la Française des Jeux LOTERIE JOKER+. Pour la réclamation du gain veuillez entrer en contact direct avec Maître Robin Sébastien: Email: cab.robin.sebastien@gmail.com Pour plus d'information, Veuillez trouver le formulaire se trouvant en annexe (Fichier Joint).",邮件,彩票 FDJ,假称中奖 68 万欧元，要求联系'律师'并打开附件表格（实为骗资料/装病毒）,发件域名 t-online.hu 为外国免费邮箱；未参加抽奖却'中奖'；联系用 gmail 而非官方渠道,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例31,"Objet: Authentification-Mobile

Bonjour,
En accord de la Directive européenne, La double authentification devient une obligation. Confirmer votre mobile ici

Nous vous remercions de votre confiance.
Cordialement,
Votre conseiller FLOATBANK.",邮件,银行 Floa Bank,假称欧盟指令强制双重认证，诱导点击'确认手机'按钮套取手机号,官方不会用邮件收集手机号做'认证'；指向假表单,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例32,"DIRECTION GÉNÉRALE DES FINANCES PUBLIQUES
Votre remboursement de 228,35 € est disponible Référence de l'avis : 1875094580391
Bonjour.
Nous vous informons que votre remboursement de 228,35 € est disponible.
Vous pouvez vous abonner à nos services en ligne et obtenir un nouveau certificat.
Il vous suffit de vous connecter sur le portail fiscal, Espace Particuliers",邮件,税务局 DGFiP,"假称 228,35 欧退税可领，诱导登录仿冒税务门户",退款不会经邮件通知点击领取；官方退税自动到账,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例33,"De : 'Group Service' <pimkles@dfyoxc.owier.com>
Objet : Assurance Maladie | Ameli.Fr

Votre caisse d'assurance maladie vous informe que vos remboursements de frais à recevoir
Nous vous demandons de mettre à jour vos données pour que votre remboursement soit effectué dans les plus délais.
Montant: 169.20 Euro
Référence: Ameli-A8005W
https://www.assure.ameli.fr",邮件,医保 ameli,"假称 169,20 欧报销待领，因'手机号不匹配'要求更新个人数据",发件域名 dfyoxc.owier.com 为仿冒；真实域名 ameli.fr；链接 assure.ameli.fr 非官方,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例34,"ING
Chère cliente, Cher client,
Lors de votre dernier opération bancaire, nous avons remarqué une activité inhabituelle sur votre compte.
Pour réactiver votre compte Vous devez mettre à jour vos informations, une fois ces dernières validées, le compte fonctionnera normalement.
L'ensemble du processus ne prendra que 5 minutes. Vous devez agir maintenant pour résoudre le problème le plus rapidement possible.
Suivez le lien ci-dessous pour finaliser le processus et régler l'état de votre compte
Accéder à votre espace sécurisé",邮件,银行 ING,假称账户有异常活动需 5 分钟内更新信息，诱导点'进入安全空间',银行不会邮件要求更新信息；'限时+恐慌'典型手法,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例35,"De : service client
Objet : SOCGEN@FRANCE.FR

SOCIETE GENERALE
Bonjour,
Un conseiller vous a adressé un nouveau message important.
NOUS VOUS INVITONS À LE(S) CONSULTER
En cliquant sur le lien ci - dessous :
Accéder Au Message",邮件,银行 Société Générale,假称顾问发来重要消息，诱导点'查看消息'链接（实为钓鱼站）,邮件头 De: service client 无官方域名；主题 SOCGEN@FRANCE.FR 系伪造地址,是,comment-reconnaitre-un-mail-de-phishing,官方示例（已标注）
示例36,"ASSURANCE MALADIE :
Votre nouvelle carte vitale est disponible.
Remplissez ce formulaire afin de rester couvert :
https://cpam-contact.fr",短信,医保 ameli,假称新医保卡可领，诱导填表保持'保险覆盖',官方域名 ameli.fr；cpam-contact.fr 是仿冒,是,smishing-hameconnage-sms,官方示例（已标注）
示例37,"Urgent CA >
Crédit Agricole
Votre Compte a été bloqué par notre service.
Débloquer votre compte en vous (Re)enregistrant à SecuriPass sur
https://secu.c-agricole.link/",短信,银行 Crédit Agricole,假称账户被冻结，诱导通过 SecuriPass 重新注册解锁,官方域名 credit-agricole.fr；secu.c-agricole.link 是仿冒子域,是,smishing-hameconnage-sms,官方示例（已标注）
示例38,"Crit'Air :
Nos agents ont constaté que votre véhicule n'était pas muni de la vignette réglementaire Crit'Air 2022 veuillez la récupérer sous peine de contravention dans les prochaines 48 h sur le lien ci-joint :
https://critair-f____.com/",短信,环保标 Crit'Air,假称未贴环保标将被罚款，48 小时内诱导点链接,官方平台 crit-air.gouv.fr；critair-f...com 是仿冒,是,smishing-hameconnage-sms,官方示例（已标注）
示例39,"Chronopost: une erreur est survenue lors de la livraison de votre colis cliquez ici pour acheminer votre colis:
https://chronopost-interruption.com",短信,快递 Chronopost,假称配送出错，诱导点链接'重新安排',官方域名 chronopost.fr；chronopost-interruption.com 是仿冒,是,smishing-hameconnage-sms,官方示例（已标注）
示例40,"Netflix : Votre compte est restreint suite à un problème avec votre mode de paiement, vous devez mettre à jour celui-ci en suivant ces étapes :
https://francestreaming.me/n/fr/",短信,流媒体 Netflix,假称支付方式问题导致账户受限，诱导更新支付信息,官方域名 netflix.com；francestreaming.me 是仿冒,是,smishing-hameconnage-sms,官方示例（已标注）
示例41,"info ANTAI :
Vous avez une contravention impayée d'un montant de 35€ à ce jour.
Consultez votre dossier d'infraction via : https://ants-amende.fr",短信,交通罚单 ANTAI,假称有 35 欧罚单未付，诱导查'违规档案',官方域名 amendes.gouv.fr；ants-amende.fr 是仿冒,是,smishing-hameconnage-sms,官方示例（已标注）
示例42,"VEUILLEZ TRANSMETTRE CE COURRIEL À QUELQU'UN DE VOTRE ENTREPRISE QUI EST PERMIS DE PRENDRE DES DÉCISIONS IMPORTANTES !

Nous avons piraté votre site Web http://www.fr et extrait vos bases de données.
Comment est-ce arrivé?
Notre équipe a trouvé une vulnérabilité sur le site que nous avons pu exploiter... [中间为恐吓段落]

Nous sommes disposés à ne pas détruire la réputation de votre site pour une somme modique. Les frais s'élèvent sont de 0.324 Bitcoin (environ 3000 USD).
Envoyez le bitcoin à l'adresse Bitcoin suivante : [adresse bitcoin]
Veuillez noter que vous devrez effectuer le paiement dans les 5 jours suivant la réception de cet avis, sinon la fuite de la base de données, les e-mails envoyés et la désindexation de votre site commenceront!",邮件,勒索者（自称黑客）,假称已入侵企业网站并窃取数据库，勒索 0.324 比特币（约 3000 美元）,官方认定纯属恐吓；无真实入侵证据；比特币匿名勒索,是,campagne-darnaques-au-chantage-au-site-internet-pretendu-pirate,官方示例（已标注）
示例43,"PLEASE FORWARD THIS EMAIL TO SOMEONE IN YOUR COMPANY WHO IS ALLOWED TO MAKE IMPORTANT DECISIONS !

We have hacked your website http://www.XXXXX.fr and extracted your databases.",邮件,勒索者（自称黑客）,同款网站被黑勒索信的英文版开头,官方公布的英文变体示例,是,campagne-darnaques-au-chantage-au-site-internet-pretendu-pirate,官方示例（已标注）
示例44,"INFO ANTAI: Vous avez une contravention à payer. Afin d'éviter toute pénalité veuillez la régler via:
https://d___r-amendes.fr",短信,交通罚单 ANTAI,假称有罚单需缴，避免罚款诱导点仿冒支付链接,官方域名 amendes.gouv.fr；d___r-amendes.fr 是仿冒,是,campagne-de-messages-frauduleux-reclamant-le-paiement-dune-contravention,官方示例（已标注）
示例45,"AMENDE GOUV : Nos agents ont trouvés une contravention rattachée à votre dossier.
Veuillez consulter les détails de la contravention via : amendes_.info",短信,交通罚单 ANTAI,假称系统查到关联您档案的罚单，诱导查详情,amendes_.info 是仿冒域名,是,campagne-de-messages-frauduleux-reclamant-le-paiement-dune-contravention,官方示例（已标注）
示例46,"Arrêt imposé par un feu rouge non respecté par le conducteur du véhicule
Bonjour,
Nous avons trouvé une contravention rattachée à votre dossier
Le montant de la contravention s'élève à 35€
Veillez noter que si vous ne payez pas une amende, les peines possibles peuvent encourir : Des pénalités supplémentaires... Une saisie sur salaire ou sur compte bancaire... Une peine d'emprisonnement de 5 ans maximum...
Payer mon amende
Cordialement, République française",短信,交通罚单 ANTAI,假称闯红灯罚单 35 欧，恐吓不缴后果（扣薪/坐牢），诱导'立即缴款',官方不会用短信催罚并威胁坐牢；'République française'落款为伪造,是,campagne-de-messages-frauduleux-reclamant-le-paiement-dune-contravention,官方示例（已标注）
示例47,"Avis de contravention reçu
RÉPUBLIQUE FRANÇAISE
amendes.gouv.fr
Service de paiement en ligne des amendes

Vous avez une contravention à payer. Merci de régler en cliquant ci-dessous
Vous pouvez régler par carte bancaire (payer ou consignataire) toutes amendes : Veuillez vous acquitter de votre amende de stationnement de 35 EUR.
Appuyez ici pour confirmer",邮件,交通罚单 ANTAI,假称停车罚单 35 欧，诱导点'确认缴费'按钮,伪造 amendes.gouv.fr 视觉；法语有错误（'on vous contacter'）；官方不邮件催缴,是,campagne-de-messages-frauduleux-reclamant-le-paiement-dune-contravention,官方示例（已标注）
示例48,"Envoyé: mercredi 4 Août 2021 15:45
De: 'Service Client'
A: xxxxxxx@sfr.fr
Objet: Confirmation de votre commande",邮件,电信 SFR,假称确认一笔并未发生的订单，诱导点'取消订单',发件仅显示'Service Client'无官方域名；收件 sfr.fr 邮箱,是,escroquerie-fausse-commande,官方示例（已标注）
示例49,"BOULANGER : Vous avez été victime d'une surfacturation de 12,25€, merci de remplir le formulaire : boulanger.link/?d=718457",短信,电商 Boulanger,"假称被多扣 12,25 欧，诱导填'退款'表单",官方域名 boulanger.com；boulanger.link 是仿冒短域名,是,escroquerie-fausse-commande,官方示例（已标注）
示例50,"DARTY
VOTRE COMMANDE DARTY.COM
Merci
Votre commande a été validée...
Rappel de votre commande
N° de transaction : 2910203636
Mode de paiement : Carte Bancaire
TV LED Philips The One 65PUS7354
Total de votre commande [TTC] 994,99 €
Montant payé en ligne 990,00 €
... Vous avez toujours la possibilité d'annuler votre commande et de vous faire rembourser...
ANNULATION DE VOTRE COMMANDE
Vous pouvez annuler votre commande et vous faire rembourser en cliquant ici : Annuler ma commande.",邮件,电商 Darty,假称一笔 990 欧的电视订单已付款，诱导点'取消订单'（实为钓鱼表单）,订单收货人/地址不是收件人本人（冒用个人信息）；'取消订单'按钮指向钓鱼站,是,escroquerie-fausse-commande,官方示例（已标注）
示例51,"https://verificationssw.ddns.net/authen.php?code=FR&id=86228128&country=France
[仿冒 PayPal 登录页：Email / Mot de passe / Connexion]",网页,支付 PayPal,假订单变体：诱导受害者登录'PayPal'核实退款，实为盗取账号密码,真实域名 paypal.com；ddns.net 动态域名是仿冒,是,escroquerie-fausse-commande,官方示例（已标注）
示例52,"Je suis Mme YVETTE BERTRAND, commissaire divisionnaire, chef de la brigade de protection des mineurs (BPM), je vous contacte peu après une saisie informatique de la Cyber-infiltration (autorisée)... pour vous informer que vous faites l'objet de plusieurs Poursuites Judiciaires en vigueur: _La pédopornographie _La pédophilie _L'exhibitionniste _La Cyber pornographie _Le trafic sexuelle

Vous êtes dès prévu de vous faire entendre par mail en nous écrivant vos justifications... cela dans un délai strict de 72 heures. Passé ce délai nous versons dans l'obligation de transmettre notre rapport à Mme Myriam Quémener procureur adjoint... pour établir un mandat d'arrêt à votre encontre... transmettre votre dossier à plusieurs chaînes de télévision nationale d'information...
Pour tous informations écrivez à cette adresse : protection.mineurs@secretary.net",邮件,冒充警察（未成年人保护旅）,假称收件人涉嫌严重违法被追诉，72 小时内须邮件自证清白，否则逮捕并公开（实为骗钱）,发件/回复地址非 @interieur.gouv.fr 官方域名（protection.mineurs@secretary.net）；官方已辟谣,是,campagnes-messages-escroquerie-usurpant-identite-police-nationale,官方示例（已标注）
示例53,"Je suis Mr Christian RODRIGUEZ, directeur général de la gendarmerie nationale. Je vous contacte peu après une saisie informatique de cyber-infiltration (Autorisée...)... pour vous informer que vous faites l'objet de plusieurs poursuites judiciaires en vigueur: * LA PÉDOPORNOGRAPHIE * SITE PORNOGRAPHIQUE * CYBER PORNOGRAPHIE * DÉTOURNEMENT DE MINEURS

Vous êtes prié de vous faire entendre par mail en nous écrivant vos justifications... dans un délai strict de 72 heures. Passé ce délai... À Mme Mélanie BRIARD, substitut du procureur... pour établir un mandat d'arrêt à votre encontre, et vous serez fiché comme délinquant sexuel. Votre dossier sera également transmis aux médias...",邮件,冒充宪兵队（总监）,同款冒充执法机构诈骗的宪兵队变体：假罪名+72小时限期+逮捕威胁,官方宪兵队已声明：官方邮件必以 gendarmerie.interieur.gouv.fr 结尾,是,campagnes-messages-escroquerie-usurpant-identite-police-nationale,官方示例（已标注）
示例54,"De : mon_compte@mail.fr <mon_compte@mail.fr>
Objet : Votre vie privée est entre mes mains

Bonjour pervers, j'ai envoyé ce message depuis votre messagerie Microsoft.
Je tiens à vous informer d'une très mauvaise situation pour vous...
Avez-vous entendu parler de Pegasus? Il s'agit d'un logiciel espion qui s'installe sur les ordinateurs et les smartphones et permet aux pirates de surveiller l'activité... [中间为威胁偷录私密视频的恐吓段落，已省略]

Transférez 1200 € vers mon portefeuille Litecoin (LTC) : ltc1qfmet08vsynkc6jm2hm5peylz9nn5u8fv7ufwn2
Une fois que j'aurai reçu la confirmation de la transaction, je supprimerai définitivement toutes les vidéos vous compromettant, je désinstallerai Pegasus de tous vos appareils et je disparaîtrai de votre vie.",邮件,勒索者（自称黑客）,webcam 勒索信：假称装了 Pegasus 间谍软件偷录视频，勒索 1200 欧莱特币,官方认定纯恐吓；Pegasus 说法为编造；威胁+加密货币勒索是标志,是,chantage-a-lordinateur-ou-a-la-webcam-pretendus-pirates,官方示例（已标注）
